ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
W00080990,293703,9/18/2018,BIOFOAMFIX,51
W00080990,293703,9/18/2018,BSCON-10,19.5
W00080990,293703,9/18/2018,BSHS-10,30.75
W00080990,293703,9/18/2018,DEV10-32,33.5
W00080990,293703,9/18/2018,DEV20-32,33.5
W00080990,293703,9/18/2018,EPA-10,16.5
W00080990,293703,9/18/2018,JABIOMINERALS-10,49
W00080990,293703,9/18/2018,JCH-3N,41
W00080990,293703,9/18/2018,JCH-4N,20.5
W00080990,293703,9/18/2018,JCH-6N,20.5
W00080990,293703,9/18/2018,JCH-7N,20.5
W00080990,293703,9/18/2018,JTC-5N,20.5
W00080990,293703,9/18/2018,JTC-7N,20.5
W00080990,293703,9/18/2018,JTC-8N,20.5
W00080990,293703,9/18/2018,MEDA-8,22.5
W00080990,293703,9/18/2018,MGEL-8,13.5
W00080990,293703,9/18/2018,PURECOND-10,15.2
W00080990,293703,9/18/2018,PURESHAMP-10,15.9
W00080990,293703,9/18/2018,SERUM-2,19.8
W00080990,293703,9/18/2018,SOFABULOUSCOND-10,23.85
W00080990,293703,9/18/2018,SOFABULOUSSHP-10,15
W00283565,292928,9/5/2018,CIT-10,31.8
W00283565,292928,9/5/2018,CIT-32,41.9
W00283565,292928,9/5/2018,DRIZ-10,55.65
W00283565,292928,9/5/2018,DRIZ-2,7.8
W00283565,292928,9/5/2018,DRIZ-32,46
W00283565,292928,9/5/2018,EYHS-10,53.7
W00283565,292928,9/5/2018,EYHS-32,47
W00283565,292928,9/5/2018,FIT SPRAY-10,57.75
W00283565,292928,9/5/2018,FIT SPRAY-2,14
W00283565,292928,9/5/2018,FRESHHAIR-10,58.5
W00283565,292928,9/5/2018,FRESHHAIR-2,11.8
W00283565,292928,9/5/2018,FRESHHAIR-32,16.95
W00283565,292928,9/5/2018,FRESHHAIRDRYSHP,9.5
W00283565,292928,9/5/2018,MEDA-8,7.5
W00283565,292928,9/5/2018,ROOTB PLUS,119.4
W00283565,292928,9/5/2018,ROOTBOOST,99.5
W00283565,292928,9/5/2018,VOLWHIPMOUSSE-8.5,15.2
W00308559,292987,9/6/2018,4 R-4/4,9.99
W00308559,292987,9/6/2018,5 N CASTANO,9.99
W00308559,292987,9/6/2018,BSHS-10,30.75
