ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
W00095720,307091,11/27/2019,BIOFOAMFIX,25.5
W00095720,307091,11/27/2019,BLSAND,23.95
W00095720,307091,11/27/2019,EYHS-10,28.5
W00158207,306332,11/1/2019,BIOMINOILLEAVEIN-9,19.9
W00158207,306332,11/1/2019,COMBK-10,8.25
W00158207,306332,11/1/2019,COMBKCOND-10,15
W00158207,306332,11/1/2019,PAVF-7.5,11.5
W00158207,306397,11/5/2019,,0
W00158207,306397,11/5/2019,COMBK-32,15.25
W00158207,306397,11/5/2019,COMBKCOND-32,27
W00158207,306397,11/5/2019,MESSAGE1,0
W00158207,306397,11/5/2019,MESSAGE9,0
W00283565,306815,11/19/2019,,8.85
W00283565,306815,11/19/2019,,10.5
W00283565,306815,11/19/2019,CHLCON-10,6.3
W00283565,306815,11/19/2019,CHLSH-10,5.75
W00283565,306815,11/19/2019,CIT-10,0
W00283565,306815,11/19/2019,CIT-2,0
W00283565,306815,11/19/2019,CIT-32,20.95
W00283565,306815,11/19/2019,EYHS-2,0
W00283565,306815,11/19/2019,EYHS-32,23.5
W00283565,306815,11/19/2019,FIT SPRAY-10,66
W00283565,306815,11/19/2019,FIT SPRAY-2,3.5
W00283565,306815,11/19/2019,FRESHHAIR-10,32.5
W00283565,306815,11/19/2019,FRESHHAIR-2,0
W00283565,306815,11/19/2019,FRESHHAIR-32,16.95
W00283565,306815,11/19/2019,FRESHHAIRDRYSHP,66.5
W00283565,306815,11/19/2019,PROMO F,95.4
W00283565,306815,11/19/2019,ROOTB PLUS,119.5
W00283565,306815,11/19/2019,ROOTBOOST,59.7
W00283565,306815,11/19/2019,SHINE SPRAY,18
W00283565,306815,11/19/2019,VOLUMIZERHAIRBOOST,9.5
W00283565,306815,11/19/2019,VOLWHIPMOUSSE-8.5,22.8
W00308559,306522,11/8/2019,7 N-7/0 BIONDO,19.98
W00308559,306522,11/8/2019,JAFACESFACIALTONER,19.9
W00308559,306522,11/8/2019,PAVF-32,41
W00308559,306960,11/22/2019,JAFACESWHITETEA,22
W00308559,306960,11/22/2019,MESSAGE1,0
W00315342,306631,11/13/2019,,0
W00315342,306631,11/13/2019,BIOFOAMFIX,8
W00315342,306631,11/13/2019,BIOMINOILLEAVEIN-9,9.95
W00315342,306631,11/13/2019,BSHS-10,20.5
W00322014,306629,11/13/2019,CIT-10,0
W00322014,306629,11/13/2019,CIT-2,0
W00322014,306629,11/13/2019,PROMO F,95.4
W00324499,306435,11/5/2019,5 N CASTANO,9.99
W00324499,306435,11/5/2019,5 R CASTANO,9.99
W00324499,306435,11/5/2019,6 N-6/0 BIONDO,9.99
W00324499,306435,11/5/2019,7 C BIONDO,9.99
W00324499,306435,11/5/2019,8 N BIONDO,9.99
W00324499,306435,11/5/2019,9 N BIONDO,9.99
W00324499,306435,11/5/2019,BVS-3N,8
W00324499,306435,11/5/2019,BVS-4N,24
W00324499,306435,11/5/2019,BVS-5N,40
W00324499,306435,11/5/2019,BVS-6A,8
W00324499,306435,11/5/2019,BVS-6N,16
W00324499,306435,11/5/2019,BVS-7N,40
W00324499,306435,11/5/2019,BVS-8A,8
W00324499,306435,11/5/2019,BVS-8N,40
W00324499,306435,11/5/2019,BVS-ULAB,16
W00324499,306435,11/5/2019,BVS-ULV,8
W00324499,306435,11/5/2019,CHLSH-32,33.9
W00324499,306435,11/5/2019,COMBK-32,23.5
W00324499,306435,11/5/2019,DEV20-32,33.5
W00324499,306435,11/5/2019,JABIOMINERALS-10,73.5
W00333596,307092,11/27/2019,,0
W00333596,307092,11/27/2019,4 N CASTANO,59.94
W00333596,307092,11/27/2019,6 C BIONDO,29.97
W00333596,307092,11/27/2019,6 D BIONDO,9.99
W00333596,307092,11/27/2019,6 N-6/0 BIONDO,59.94
W00333596,307092,11/27/2019,7 C BIONDO,19.98
W00333596,307092,11/27/2019,7 D-7/3,9.99
W00333596,307092,11/27/2019,7 N-7/0 BIONDO,9.99
W00333596,307092,11/27/2019,BIOFOAMFIX,17
W00333596,307092,11/27/2019,BLSAND,23.95
W00333596,307092,11/27/2019,EYHS-32,47
