ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
A00000010,298330,2/18/2019,,0
A00000010,298330,2/18/2019,BIOVITAMINS,32.5
A00000010,298330,2/18/2019,CIT-2,4.55
A00000010,298330,2/18/2019,FRESHHAIRDRYSHP,39
A00000019,298618,2/26/2019,BIOVITATINCOND-10,12.35
A00000019,298618,2/26/2019,BIOVITATINSHP-10,12.35
A00000019,298618,2/26/2019,PURESHAMP-10,11.05
W00024412,298058,2/7/2019,,94.5
W00024412,298058,2/7/2019,JITPERM-R,0
W00080990,298686,2/28/2019,BIOELEVENFLUID,39.8
W00080990,298686,2/28/2019,BIOFORMGELFIX,38
W00080990,298686,2/28/2019,BSCON-10,26
W00080990,298686,2/28/2019,BSHS-10,41
W00080990,298686,2/28/2019,BVS-4X,8
W00080990,298686,2/28/2019,BVS-5X,8
W00080990,298686,2/28/2019,CHLSH-32,15.95
W00080990,298686,2/28/2019,COMBK-10,24.75
W00080990,298686,2/28/2019,DEV20-32,16.75
W00080990,298686,2/28/2019,EPA-32,13.5
W00080990,298686,2/28/2019,JABIOMINERALS-10,49
W00080990,298686,2/28/2019,JCH-5N,20.5
W00080990,298686,2/28/2019,JCH-7N,20.5
W00080990,298686,2/28/2019,JCH-IC4-RAME,20.5
W00080990,298686,2/28/2019,JTC-7N,20.5
W00080990,298686,2/28/2019,MBEARDOIL-1,11.9
W00080990,298686,2/28/2019,MEDA-8,30
W00080990,298686,2/28/2019,MENSTEATREESHP-8,29
W00080990,298686,2/28/2019,MGEL-8,27
W00080990,298686,2/28/2019,PLAY GUM,37.6
W00080990,298686,2/28/2019,SOFABULOUSCOND-10,31.8
W00080990,298686,2/28/2019,SOFABULOUSSHP-10,30
W00153622,298768,2/24/2019,FRESHHAIRDRYSHP,9.5
W00153622,298768,2/24/2019,PAVF-32,41
W00308559,298057,2/7/2019,4 N CASTANO,9.99
W00308559,298057,2/7/2019,8 C BIONDO,9.99
W00308559,298057,2/7/2019,900BIONDOULTRACHIARO,9.99
W00308559,298057,2/7/2019,902BIONDOULTRAPERL,9.99
