ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
A00000011,308968,2/4/2020,EYHS-32,32.5
A00000011,308968,2/4/2020,PLAY GUM,13
A00000011,308968,2/4/2020,VOLWHIPMOUSSE-8.5,10.4
W00080990,309054,2/7/2020,BIOELEVENFLUID,39.8
W00080990,309054,2/7/2020,BLSAND,23.95
W00080990,309054,2/7/2020,BSHS-10,61.5
W00080990,309054,2/7/2020,BVS-4X,16
W00080990,309054,2/7/2020,DEV20-32,33.5
W00080990,309054,2/7/2020,DEV30-32,18.5
W00080990,309054,2/7/2020,JCH-7N,20.5
W00080990,309054,2/7/2020,JCH-IC3-MORGANO,20.5
W00080990,309054,2/7/2020,JTC-6N,20.5
W00080990,309054,2/7/2020,JTC-8N,20.5
W00080990,309054,2/7/2020,JTC-C2,20.5
W00080990,309054,2/7/2020,JTC-C6,20.5
W00080990,309054,2/7/2020,PLAY GUM,37.6
W00080990,309054,2/7/2020,PURECOND-10,15.2
W00080990,309054,2/7/2020,PURESHAMP-10,15.9
W00153622,309631,2/28/2020,ICE-10,0
W00153622,309631,2/28/2020,JTC-5N,20.5
W00153622,309631,2/28/2020,JTC-7N,20.5
W00153622,309631,2/28/2020,OMGDRYTEXSPRAY-7,0
W00153622,309631,2/28/2020,PROMO D,22
W00153622,309631,2/28/2020,PROMO F,99
W00153622,309631,2/28/2020,PROMO F,99
W00283565,309501,2/25/2020,CHLCON-10,6.3
W00283565,309501,2/25/2020,CHLSH-10,5.75
W00283565,309501,2/25/2020,CIT-10,55.65
W00283565,309501,2/25/2020,CIT-32,41.9
W00283565,309501,2/25/2020,DRIZ-10,15.9
W00283565,309501,2/25/2020,FIT SPRAY-10,24.75
W00283565,309501,2/25/2020,FRESHHAIR-32,16.95
W00283565,309501,2/25/2020,PROMO F,59.75
W00283565,309501,2/25/2020,ROOTB PLUS,0
W00283565,309501,2/25/2020,ROOTBOOST,39.8
W00283565,309501,2/25/2020,VOLWHIPMOUSSE-8.5,53.2
W00308559,308941,2/3/2020,,0
W00308559,308941,2/3/2020,,0
W00308559,308941,2/3/2020,5 N CASTANO,9.99
W00308559,308941,2/3/2020,6 C BIONDO,9.99
W00308559,308941,2/3/2020,6 D BIONDO,9.99
W00308559,308941,2/3/2020,6 N-6/0 BIONDO,19.98
W00308559,308941,2/3/2020,7 N-7/0 BIONDO,0
W00308559,308941,2/3/2020,7CD,9.99
W00308559,308941,2/3/2020,8 D BIONDO,0
W00308559,308941,2/3/2020,900BIONDOULTRACHIARO,0
W00308559,308941,2/3/2020,901BIONDOULTRACENERE,0
W00308559,308941,2/3/2020,COMBK-10,24.75
W00308559,308941,2/3/2020,DEV10-32,16.75
W00308559,308941,2/3/2020,DEV30-16,12
W00308559,308941,2/3/2020,NHPERM-R,20.25
W00324499,308965,2/4/2020,4 N CASTANO,19.98
W00324499,308965,2/4/2020,5 N CASTANO,19.98
W00324499,308965,2/4/2020,7 N-7/0 BIONDO,19.98
W00324499,308965,2/4/2020,8 N BIONDO,19.98
