ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
W00080990,315103,10/6/2020,BIOELEVENFLUID,31.5
W00080990,315103,10/6/2020,BIOFOAMFIX,36
W00080990,315103,10/6/2020,BLSAND,24.75
W00080990,315103,10/6/2020,BSHS-10,42
W00080990,315103,10/6/2020,BVS-4X,8.25
W00080990,315103,10/6/2020,COMBK-10,26.25
W00080990,315103,10/6/2020,DEV20-32,17.25
W00080990,315103,10/6/2020,DEV30-32,19
W00080990,315103,10/6/2020,GLOVESLG-100    *,12
W00080990,315103,10/6/2020,JCH-3N,21
W00080990,315103,10/6/2020,JCH-5N,21
W00080990,315103,10/6/2020,JCH-6N,21
W00080990,315103,10/6/2020,JTC-5N,21
W00080990,315103,10/6/2020,PLAY GUM,29.25
W00080990,315103,10/6/2020,SOFABULOUSCOND-10,25.5
W00084876,315934,10/21/2020,,0
W00084876,315934,10/21/2020,BIOELEVENFLUID,10.5
W00084876,315934,10/21/2020,BSGS-4,0
W00084876,315934,10/21/2020,BVS-7G,8.25
W00084876,315934,10/21/2020,BVS-7X,8.25
W00084876,315934,10/21/2020,BVS-8N,8.25
W00084876,315934,10/21/2020,BVS-9N,8.25
W00084876,315934,10/21/2020,CASABLANCAFOAM-8,10.25
W00084876,315934,10/21/2020,CEMENTFIX-8.5,9.25
W00084876,315934,10/21/2020,COMBKCOND-10,7.95
W00084876,315934,10/21/2020,CTW-NSH,8.5
W00084876,315934,10/21/2020,CTW-R-A+ 4#,33
W00084876,315934,10/21/2020,CTWSOOTHERS,11.5
W00084876,315934,10/21/2020,DEV20-16,11.5
W00084876,315934,10/21/2020,DEV40-32,14
W00084876,315934,10/21/2020,EYHS-2,3.6
W00084876,315934,10/21/2020,INSCON-4,9.25
W00084876,315934,10/21/2020,JABIOMINERALS-3,9.25
W00084876,315934,10/21/2020,JAG-10,6
W00084876,315934,10/21/2020,JCH-3N,21
W00084876,315934,10/21/2020,MICAGEL-2,2.4
W00084876,315934,10/21/2020,VITASHINEHS-8.45,9.75
W00095720,315820,10/16/2020,BIOFOAMFIX,27
W00095720,315820,10/16/2020,CIT-10,17.9
W00095720,315820,10/16/2020,CIT-32,23.95
W00095720,315820,10/16/2020,MESSAGE3,0
W00095720,315981,10/23/2020,,0
W00095720,315981,10/23/2020,BLSAND,24.75
W00324499,315266,10/8/2020,7 N-7/0 BIONDO,10.25
W00324499,315266,10/8/2020,8 N BIONDO,10.25
W00324499,315266,10/8/2020,9 N BIONDO,10.25
W00324499,315266,10/8/2020,BVS-10A,8.25
W00324499,315266,10/8/2020,BVS-4N,24.75
W00324499,315266,10/8/2020,BVS-5M,8.25
W00324499,315266,10/8/2020,BVS-5N,33
W00324499,315266,10/8/2020,BVS-6N,41.25
W00324499,315266,10/8/2020,BVS-7N,33
W00324499,315266,10/8/2020,BVS-8A,8.25
W00324499,315266,10/8/2020,BVS-8N,41.25
W00324499,315266,10/8/2020,BVS-9N,8.25
W00324499,315266,10/8/2020,BVS-ULAB,8.25
W00324499,315266,10/8/2020,CHLSH-10,6
W00324499,315266,10/8/2020,DEV20-32,34.5
W00324499,315266,10/8/2020,FOILPOPUP500   *,18
W00324499,315266,10/8/2020,JABIOMINERALS-10,50
W00324499,315266,10/8/2020,JPOWERBLONDBLUE,25.75
W00333596,315818,10/16/2020,4 N CASTANO,51.25
W00333596,315818,10/16/2020,6 N-6/0 BIONDO,51.25
W00333596,315818,10/16/2020,7 C BIONDO,30.75
W00333596,315818,10/16/2020,7 N-7/0 BIONDO,10.25
W00333596,315818,10/16/2020,8 C BIONDO,20.5
W00333596,315818,10/16/2020,BIOFOAMFIX,27
W00333596,315818,10/16/2020,CIT-32,23.95
W00333596,315818,10/16/2020,EYHS-10,40
W00333596,315818,10/16/2020,EYHS-2,10.8
W00333596,315818,10/16/2020,MESSAGE3,0
W00333596,315983,10/23/2020,,0
W00333596,315983,10/23/2020,,0
W00333596,315983,10/23/2020,,0
W00333596,315983,10/23/2020,6 C BIONDO,20.5
W00333596,315983,10/23/2020,7 D-7/3,10.25
W00333596,315983,10/23/2020,EYHS-32,14
W00333596,315983,10/23/2020,EYHS-32,49
W00333596,315983,10/23/2020,MESSAGE1,0
W00348405,315586,10/12/2020,JABIOMINERALS-10,125
W00359872,314997,10/2/2020,BSHS-10,252
W00359872,314997,10/2/2020,CIT-10,107.4
W00359872,314997,10/2/2020,EYHS-10,120
W00380267,316004,10/26/2020,,0
W00380267,316004,10/26/2020,5 C CASTANO,10.25
W00380267,316004,10/26/2020,6 D BIONDO,10.25
W00380267,316004,10/26/2020,7 CD-7/31,10.25
W00380267,316004,10/26/2020,7 N-7/0 BIONDO,10.25
W00380267,316004,10/26/2020,7DR,10.25
W00380267,316004,10/26/2020,8 D BIONDO,10.25
W00380267,316004,10/26/2020,8 N BIONDO,10.25
W00380267,316004,10/26/2020,BSCON-32,18
W00380267,316004,10/26/2020,CIT-10,53.7
W00380267,316004,10/26/2020,COMBK-10,26.25
W00380267,316004,10/26/2020,COMBKCOND-10,23.85
W00380267,316004,10/26/2020,COOL-IT,65.7
W00380267,316004,10/26/2020,CRAZYCLRZUCCHERO,10.5
W00380267,316004,10/26/2020,DEV20-32,17.25
W00380267,316004,10/26/2020,GIZER-10,15
W00380267,316004,10/26/2020,GIZERCOND-10,16.5
W00380267,316004,10/26/2020,GIZERSHP-10,6.5
W00380267,316004,10/26/2020,ICE-10,12
W00380267,316004,10/26/2020,JABIOMINERALS-10,25
W00380267,316004,10/26/2020,PAVF-7.5,11.95
W00380267,316004,10/26/2020,SMOOTHIECOND-10,8
W00380267,316004,10/26/2020,SMOOTHIESHAMP-10,8
W00380267,316004,10/26/2020,TEXCR-10,16.5
W00380267,316004,10/26/2020,VITASHINECOND-8,26.25
W00380267,316004,10/26/2020,VITASHINEHS-8.45,58.5
W00380267,316004,10/26/2020,VITASHINESHP-8,26.25
W00380892,315768,10/14/2020,DEV30-32,19
W00380892,315768,10/14/2020,GENTLE-32,17.25
W00380892,315768,10/14/2020,JTC-10N,21
W00380892,315768,10/14/2020,JTC-1N,21
W00380892,315768,10/14/2020,JTC-2N,21
W00380892,315768,10/14/2020,JTC-3N,21
W00380892,315768,10/14/2020,JTC-8N,21
W00380892,315768,10/14/2020,JTC-9N,21
W00402400,315042,10/5/2020,,50.82
W00402400,315042,10/5/2020,,0
W00402400,315042,10/5/2020,4 N CASTANO,10.25
W00402400,315042,10/5/2020,5 N CASTANO,10.25
W00402400,315042,10/5/2020,BSGS-4,0
W00402400,315042,10/5/2020,BVS-7A,8.25
W00402400,315042,10/5/2020,BVS-7X,8.25
W00402400,315042,10/5/2020,BVS-ULAB,8.25
W00402400,315042,10/5/2020,DEV20-32,51.75
W00402400,315042,10/5/2020,JTC-4N,42
W00402400,315042,10/5/2020,JTC-7N,42
W00402400,315042,10/5/2020,MCOND-8,41.7
W00402400,315042,10/5/2020,MICAGEL-8,39
W00402400,315042,10/5/2020,OMGDRYTEXSPRAY-7,0
W00402400,315042,10/5/2020,PAVF-32,42.25
W00402400,315893,10/20/2020,,0
W00402400,315893,10/20/2020,,29.82
W00402400,315893,10/20/2020,FRESHHAIRDRYSHP,0
W00402668,315417,10/9/2020,6 N-6/0 BIONDO,10.25
W00402668,315417,10/9/2020,6DR-6/34,20.5
W00402668,315417,10/9/2020,7 CD-7/31,10.25
W00402668,315417,10/9/2020,7 N-7/0 BIONDO,10.25
W00402668,315417,10/9/2020,9 C BIOND,10.25
W00402668,315417,10/9/2020,BSKIWI-10,12
W00402668,315417,10/9/2020,BSKIWI-34,16.5
W00402668,315417,10/9/2020,CASABLANCAOIL-2,9.75
W00402668,315417,10/9/2020,CIT-32,23.95
W00402668,315417,10/9/2020,COMBK-10,8.75
W00402668,315417,10/9/2020,EPA-32,27.9
W00402668,315417,10/9/2020,EYHS-10,10
W00402668,315417,10/9/2020,FRESHHAIRDRYSHP,9.95
W00402668,315417,10/9/2020,KSCON-10,14
W00402668,315417,10/9/2020,KSCON-32,19.5
W00402668,315417,10/9/2020,MICAGEL-8,13
W00402668,315417,10/9/2020,PAVF-7.5,23.9
W00402668,315417,10/9/2020,PUMP-LTR   *,1.8
W00402668,315417,10/9/2020,VITASHINESHP-32,27
W00402668,315629,10/9/2020,6 N-6/0 BIONDO,10.25
W00402668,315629,10/9/2020,6DR-6/34,20.5
W00402668,315629,10/9/2020,7 CD-7/31,10.25
W00402668,315629,10/9/2020,7 N-7/0 BIONDO,10.25
W00402668,315629,10/9/2020,9 C BIOND,10.25
W00402668,315629,10/9/2020,BSKIWI-10,12
W00402668,315629,10/9/2020,BSKIWI-34,16.5
W00402668,315629,10/9/2020,CASABLANCAOIL-2,9.75
W00402668,315629,10/9/2020,CIT-32,23.95
W00402668,315629,10/9/2020,COMBK-10,8.75
W00402668,315629,10/9/2020,EPA-32,27.9
W00402668,315629,10/9/2020,EYHS-10,10
W00402668,315629,10/9/2020,FRESHHAIRDRYSHP,9.95
W00402668,315629,10/9/2020,KSCON-10,14
W00402668,315629,10/9/2020,KSCON-32,19.5
W00402668,315629,10/9/2020,MICAGEL-8,13
W00402668,315629,10/9/2020,PAVF-7.5,23.9
W00402668,315629,10/9/2020,PUMP-LTR   *,1.8
W00402668,315629,10/9/2020,VITASHINESHP-32,27
W00406166,316046,10/26/2020,3 M-3/5,0
W00406166,316046,10/26/2020,4 M-4/5,10.25
W00406166,316046,10/26/2020,5VEN-5/6,10.25
W00406166,316046,10/26/2020,6 N-6/0 BIONDO,10.25
W00406166,316046,10/26/2020,7 N-7/0 BIONDO,20.5
W00406166,316046,10/26/2020,8 N BIONDO,10.25
W00406166,316046,10/26/2020,9 C BIOND,10.25
W00406166,316046,10/26/2020,9 N BIONDO,10.25
W00406166,316046,10/26/2020,BIOELEVENFLUID,0
W00406166,316046,10/26/2020,BIOWATERWAX,19.5
W00406166,316046,10/26/2020,BLSAND,24.75
W00406166,316046,10/26/2020,BVS-5M,8.25
W00406166,316046,10/26/2020,BVS-6N,8.25
W00406166,316046,10/26/2020,BVS-7AA,8.25
W00406166,316046,10/26/2020,BVS-7AA,8.25
W00406166,316046,10/26/2020,BVS-7N,8.25
W00406166,316046,10/26/2020,BVS-8G,8.25
W00406166,316046,10/26/2020,DEV10-32,17.25
W00406166,316046,10/26/2020,DEV20-32,51.75
W00406166,316046,10/26/2020,EYHS-10,20
W00406166,316046,10/26/2020,GLZSHC-10,13.5
W00406166,316046,10/26/2020,JTC-5N,21
W00406166,316046,10/26/2020,JTC-6N,21
W00406166,316046,10/26/2020,JTC-7N,21
W00406166,316046,10/26/2020,JTC-8N,21
W00406166,316046,10/26/2020,PAVF-7.5,23.9
W00406166,316046,10/26/2020,PLAY GUM,19.5
W00406166,316046,10/26/2020,TEXCR-10,8.25
W00408517,315889,10/20/2020,BIOMINOILLEAVEIN-9,10
W00408517,315889,10/20/2020,FOOT-8,21.75
W00408517,315889,10/20/2020,VOLWHIPMOUSSE-8.5,16
W00420064,315929,10/21/2020,BVS-6N,8.25
W00420064,315929,10/21/2020,BVS-7N,8.25
W00420064,315929,10/21/2020,JABIOMINERALS-10,50
W00420064,315929,10/21/2020,MEDA-1000,24.95
W00420064,315929,10/21/2020,VOLWHIPMOUSSE-8.5,16
W00421621,316108,10/28/2020,BIOFOAMFIX,18
W00421621,316108,10/28/2020,BVS-8N,8.25
W00421621,316108,10/28/2020,CHLSH-10,6
W00421621,316108,10/28/2020,DEV20-32,17.25
W00421621,316108,10/28/2020,MSHAMPOO-32,17
W00421621,316108,10/28/2020,NHPERM-G,6.95
W00421621,316108,10/28/2020,NHPERM-R,13.9
W00421621,316108,10/28/2020,PC PUTTY,26.25
W00421621,316108,10/28/2020,ROOTBOOST,10.5
W00423163,315667,10/13/2020,CHLSH-32,17.5
W00423163,315667,10/13/2020,COMBK-10,8.75
W00423163,315667,10/13/2020,JTC-6N,21
W00423163,315667,10/13/2020,JTC-C1,21
W00423163,315667,10/13/2020,MICAGEL-34,18
W00423163,315667,10/13/2020,MICAGEL-8,19.5
W00442978,316083,10/27/2020,BIOVITAMINS,78
W00442978,316083,10/27/2020,CEA-10,12
W00442978,316083,10/27/2020,DEV40-32,20
W00461576,316015,10/26/2020,BSHS-10,126
W00461576,316015,10/26/2020,CEA-128,90.5
W00461576,316015,10/26/2020,DURAGL-16,39
W00461576,316015,10/26/2020,MEDA-1000,24.95
W00461576,316015,10/26/2020,MEDA-250,7.95
W00461576,316015,10/26/2020,VOLWHIPMOUSSE-8.5,64
W00501789,315269,10/8/2020,CASABLANCAOIL-2,9.75
W00501789,315269,10/8/2020,CEA-10,18
W00501789,315269,10/8/2020,CEA-32,16.5
W00501789,315269,10/8/2020,EPA-10,12
W00501789,315269,10/8/2020,GIZER-10,7.5
W00501789,315269,10/8/2020,GIZERCOND-10,8.25
W00501789,315269,10/8/2020,GIZERSHP-10,6.5
W00501789,315269,10/8/2020,JAG-10,6
W00501789,315269,10/8/2020,MAP-7,10.5
W00501789,315269,10/8/2020,MESSAGE2,0
W00501789,315269,10/8/2020,MSHAMPOO-8,6.95
W00501789,315269,10/8/2020,ROOTB PLUS,25
W00501789,315269,10/8/2020,SMOOTHIECOND-10,8
W00501789,315269,10/8/2020,SMOOTHIESHAMP-10,8
W00501789,315269,10/8/2020,VOLUMIZERSHP-10,7.75
W00509104,315424,10/9/2020,,0
W00509104,315424,10/9/2020,,29.22
W00509104,315424,10/9/2020,VITASHINEHS-8.45,0
W00522106,315454,10/9/2020,,0
W00522106,315454,10/9/2020,,29.22
W00522106,315454,10/9/2020,FRESHHAIRDRYSHP,19.9
W00522106,315454,10/9/2020,VITASHINEHS-8.45,0
W00522106,315881,10/20/2020,,29.82
W00522106,315881,10/20/2020,,0
W00522106,315881,10/20/2020,,101.64
W00522106,315881,10/20/2020,,0
W00522106,315881,10/20/2020,FRESHHAIRDRYSHP,0
W00522106,315881,10/20/2020,KERASMOOTHCOND-8,0
W00522106,315881,10/20/2020,KERASMOOTHSH-8,0
W00522106,316027,10/26/2020,,27.72
W00522106,316027,10/26/2020,,0
W00522106,316027,10/26/2020,BLSAND,24.75
W00522106,316027,10/26/2020,CEMENTFIX-8.5,0
W00522106,316027,10/26/2020,MIRACLEFRUITOIL   *,75
W00523382,315816,10/16/2020,3 N CASTANO,20.5
W00523382,315816,10/16/2020,8 C BIONDO,10.25
W00523382,315816,10/16/2020,8 N BIONDO,30.75
W00523382,315816,10/16/2020,BLSAND,24.75
W00523382,315816,10/16/2020,GIZER-10,37.5
W00523382,315816,10/16/2020,GLZSHCX-10,7.25
W00523382,315816,10/16/2020,MICAGEL-8,19.5
W00523382,315816,10/16/2020,PC PUTTY,26.25
W00541856,315111,10/6/2020,MESSAGE2,0
W00541856,315111,10/6/2020,VOLWHIPMOUSSE-8.5,192
W00554952,315819,10/16/2020,6 R BIONDO,10.25
W00554952,315819,10/16/2020,6DR-6/34,10.25
W00554952,315819,10/16/2020,BVS-6C,8.25
W00554952,315819,10/16/2020,BVS-7C,8.25
W00554952,315819,10/16/2020,MESSAGE3,0
W00554952,315982,10/23/2020,,0
W00554952,315982,10/23/2020,BVS-1B,8.25
W00554952,315982,10/23/2020,BVS-1N,8.25
W00554952,315982,10/23/2020,BVS-3N,8.25
W00554952,315982,10/23/2020,BVS-5G,8.25
W00554952,315982,10/23/2020,BVS-5N,8.25
W00554952,315982,10/23/2020,BVS-5X,8.25
W00554952,315982,10/23/2020,BVS-6G,8.25
W00554952,315982,10/23/2020,DURAGL-16,19.5
W00554952,315982,10/23/2020,SHINE SPRAY,18.5
W00566178,315780,10/15/2020,,0
W00566178,315780,10/15/2020,,0
W00566178,315780,10/15/2020,BIOVITATINLEAVEIN-10,10
W00566178,315780,10/15/2020,CATALOGPROF2017,0
W00566178,315780,10/15/2020,CATALOGRETAIL2017,0
W00566178,315780,10/15/2020,CCON-10,9.4
W00566178,315780,10/15/2020,CCON-2,0
W00566178,315780,10/15/2020,CEALEAVEINCOND-10,0
W00566178,315780,10/15/2020,MCOND-8,20.85
W00566178,315780,10/15/2020,MHAIRSPRAY-8,16.5
W00566178,315780,10/15/2020,MSHAMPOO-8,27.8
W00566178,315789,10/15/2020,,0
W00566341,315683,10/13/2020,MESSAGE2,0
W00566341,315683,10/13/2020,PAVF-7.5,71.7
W00566341,315683,10/13/2020,ROOTBOOST,42
W00566341,315822,10/16/2020,,0
W00566341,315822,10/16/2020,BLONDEISTBLEACH,30
W00566341,315822,10/16/2020,BVS-3N,8.25
W00566341,315822,10/16/2020,BVS-4N,16.5
W00566341,315822,10/16/2020,BVS-5N,16.5
W00566341,315822,10/16/2020,BVS-5X,8.25
W00566341,315822,10/16/2020,BVS-6N,8.25
W00566341,315822,10/16/2020,BVS-7S,8.25
W00566341,315822,10/16/2020,DEV20-32,17.25
W00566341,315822,10/16/2020,DEV30-32,19
W00566341,315822,10/16/2020,DURAGL-16,39
W00566341,315822,10/16/2020,KERATINCHOCOLATE-16,125
W00583020,316171,10/29/2020,BLSAND,74.25
W00583310,316169,10/29/2020,,0
W00583310,316169,10/29/2020,,0
W00583310,316169,10/29/2020,,0
W00583310,316169,10/29/2020,25HOURSUPERSTRONG,9.5
W00583310,316169,10/29/2020,BSGS-4,0
W00583310,316169,10/29/2020,CASABLANCAOIL-2,9.75
W00583310,316169,10/29/2020,FOOT-8,7.25
W00583310,316169,10/29/2020,JABIOMINERALS-10,25
W00583310,316169,10/29/2020,JTC-BRUSH          *,6
W00583310,316169,10/29/2020,VITASHINESHP-32,27
W00583310,316169,10/29/2020,WAVYBABY-2,24.95
W00583310,316169,10/29/2020,WAVYBABYNEUT-1000ML,19.95
W00587168,315032,10/5/2020,,29.22
W00587168,315032,10/5/2020,,0
W00587168,315032,10/5/2020,VITASHINEHS-8.45,0
W00587168,315146,10/7/2020,,0
W00587168,315146,10/7/2020,BVS-3N,8.25
W00587168,315146,10/7/2020,BVS-5N,8.25
W00587168,315146,10/7/2020,BVS-CVTONER,8.25
W00587168,315146,10/7/2020,CCON-32,24.5
W00587168,315146,10/7/2020,COMBK-32,24.25
W00587168,315146,10/7/2020,DURAGL-16,19.5
W00587168,315146,10/7/2020,GLZ-16,11.75
W00587168,315146,10/7/2020,GLZSHC-32,18
W00587168,315146,10/7/2020,GLZSHP-32,48.5
W00587168,315146,10/7/2020,HEMPCONDMASK-300ML,13
W00587168,315146,10/7/2020,HEMPSHAMPOO-300ML,13
W00587168,315146,10/7/2020,HEMPSTYLECRM-150ML,29
W00587168,315146,10/7/2020,JABIOMINERALS-10,25
W00587168,315146,10/7/2020,JTC-5N,21
W00587168,315146,10/7/2020,JTC-6N,21
W00587168,315146,10/7/2020,JTC-7N,21
W00587168,315146,10/7/2020,JTC-9N,21
W00587168,315146,10/7/2020,PUMP-LTR   *,9
W00587168,315146,10/7/2020,UGLZ-16,15.25
W00587168,315146,10/7/2020,VITASHINECOND-32,27
W00587168,315146,10/7/2020,VITASHINESHP-32,27
W00587168,315147,10/7/2020,,0
W00587168,315147,10/7/2020,BIOCOMPINSTREPAIR,21
W00587168,315147,10/7/2020,BIOELEVENFLUID,21
W00587168,315147,10/7/2020,BSHS-10,31.5
W00587168,315147,10/7/2020,BSHSHUMID-10,32.85
W00587168,315147,10/7/2020,CASABLANCACOND-8,8.5
W00587168,315147,10/7/2020,CASABLANCAOIL-2,9.75
W00587168,315147,10/7/2020,CASABLANCASHP-8,8.5
W00587168,315147,10/7/2020,CHLSH-10,12
W00587168,315147,10/7/2020,CHLSH-2,6.45
W00587168,315147,10/7/2020,CIT-2,15.8
W00587168,315147,10/7/2020,EYHS-10,30
W00587168,315147,10/7/2020,EYHS-2,18
W00587168,315147,10/7/2020,FIT SPRAY-10,26.85
W00587168,315147,10/7/2020,FIT SPRAY-2,10.8
W00587168,315147,10/7/2020,KERASMOOTHCOND-8,33.9
W00587168,315147,10/7/2020,KERASMOOTHSH-8,33.9
W00587168,315147,10/7/2020,MAP-7,21
W00587168,315147,10/7/2020,MEDA-250,15.9
W00587168,315147,10/7/2020,MICAGEL-2,12
W00587168,315147,10/7/2020,VITASHINECOND-2,10.05
W00587168,315147,10/7/2020,VITASHINESHP-2,16.75
W00587168,315147,10/7/2020,VOLWHIPMOUSSE-8.5,8
W00587168,315681,10/13/2020,,0
W00587168,315681,10/13/2020,BVS-1B,0
W00587168,315681,10/13/2020,BVS-3N,0
W00587168,315681,10/13/2020,DEV20-32,0
W00587168,315681,10/13/2020,JAAPRON,0
W00587168,315681,10/13/2020,JACAPESNAP,46
W00587168,315681,10/13/2020,MESSAGE5,0
W00587168,315681,10/13/2020,WHITE TOWELS,0
W00587168,315688,10/13/2020,,101.64
W00587168,315688,10/13/2020,,0
W00587168,315688,10/13/2020,KERASMOOTHCOND-8,0
W00587168,315688,10/13/2020,KERASMOOTHSH-8,0
W00587168,315688,10/13/2020,MESSAGE1,0
W00587168,315800,10/16/2020,,40
W00587168,315800,10/16/2020,,0
W00587168,315800,10/16/2020,,0
W00587168,315800,10/16/2020,BIOCOMPHYDCOND-250,19
W00587168,315800,10/16/2020,BIOCOMPNOURSHP-250,18
W00587168,315800,10/16/2020,ESSENTIALOIL-LAVCED,0
W00587168,315800,10/16/2020,GLOVESMED-100     *,12
W00587168,315800,10/16/2020,JABIOMINERALS-10,0
W00587168,315800,10/16/2020,SMOOTHIE-4,8.75
W00587168,315800,10/16/2020,VITASHINECOND-2,14.5
W00587168,315800,10/16/2020,VITASHINESHP-2,0
W00587168,315801,10/16/2020,ESSENTIALOIL-LAV,6
W00587168,315865,10/19/2020,,0
W00587168,315865,10/19/2020,,29.82
W00587168,315865,10/19/2020,FRESHHAIRDRYSHP,0
W00587168,315966,10/22/2020,BAG-RETAILJA,14
W00587168,315966,10/22/2020,BIOMINOILLEAVEIN-9,20
W00587168,315966,10/22/2020,BSHSHUMID-10,43.8
W00587168,315966,10/22/2020,BVS-10N,0
W00587168,315966,10/22/2020,BVS-7N,0
W00587168,315966,10/22/2020,BVS-CVTONER,0
W00587168,315966,10/22/2020,CHLSH-2,8.6
W00587168,315966,10/22/2020,DEV30-32,19
W00587168,315966,10/22/2020,INTENSIVESHP-250,8.25
W00587168,315966,10/22/2020,JTC-6N,21
W00587168,315966,10/22/2020,MEN COLOGNE,35
W00587168,315966,10/22/2020,MICAGEL-2,9.6
W00587168,315966,10/22/2020,MSHAMPOO-32,17
W00587168,315966,10/22/2020,RETINOL,39
W00587168,315966,10/22/2020,VITASHINECOND-2,3.35
W00587168,315966,10/22/2020,VITASHINESHP-2,0
W00587168,315966,10/22/2020,VITASHINESHP-8,35
W00587168,316061,10/27/2020,,27.72
W00587168,316061,10/27/2020,,0
W00587168,316061,10/27/2020,CEMENTFIX-8.5,0
W00587168,316170,10/29/2020,BIOCOMPDEEPMASK,18.5
W00587168,316170,10/29/2020,BIOCOMPNOURSHP-1000,20.5
W00587168,316170,10/29/2020,DEV20-32,17.25
W00587168,316170,10/29/2020,GIZER-10,15
W00587168,316170,10/29/2020,GIZERCOND-10,8.25
W00587168,316170,10/29/2020,GIZERSHP-10,13
W00587168,316170,10/29/2020,GLZSHP-10,0
W00587168,316170,10/29/2020,JABIOMINERALS-10,25
W00587168,316170,10/29/2020,JCH-4N,21
W00587168,316170,10/29/2020,JCH-7N,21
W00587168,316170,10/29/2020,JTC-5N,21
W00587168,316170,10/29/2020,JTC-6N,21
W00587168,316170,10/29/2020,JTC-7N,21
W00587168,316170,10/29/2020,MAP-7,31.5
W00587168,316170,10/29/2020,VITASHINECOND-2,3.35
W00587168,316170,10/29/2020,VITASHINESHP-2,0
W00603743,315938,10/21/2020,,0
W00603743,315938,10/21/2020,COMBK-10,8.75
W00603743,315938,10/21/2020,PLAY GUM,9.75
W00603743,315938,10/21/2020,TEXCR-10,24.75
W00603928,315596,10/12/2020,8 C BIONDO,10.25
W00603928,315596,10/12/2020,9 C BIOND,20.5
W00603928,315596,10/12/2020,DISCCLASSFOLDER,0
W00603928,315596,10/12/2020,UGLZ-16,61
W00609974,315997,10/23/2020,,0
W00609974,315997,10/23/2020,CASABLANCAOIL-2,136.5
W00611915,316190,10/30/2020,7/43,0
W00611915,316190,10/30/2020,4/68,10.25
W00611915,316190,10/30/2020,7/6,10.25
W00611915,316190,10/30/2020,8/6,10.25
W00611915,316190,10/30/2020,,35.55
W00611915,316190,10/30/2020,,0
W00611915,316190,10/30/2020,,54
W00611915,316190,10/30/2020,,82.5
W00611915,316190,10/30/2020,,26.55
W00611915,316190,10/30/2020,,57.75
W00611915,316190,10/30/2020,4 M-4/5,10.25
W00611915,316190,10/30/2020,5 N CASTANO,10.25
W00611915,316190,10/30/2020,5VEN-5/6,20.5
W00611915,316190,10/30/2020,6 D BIONDO,10.25
