ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
W00080990,291976,8/8/2018,,0
W00080990,291976,8/8/2018,,0
W00080990,291976,8/8/2018,,16.95
W00080990,291976,8/8/2018,JCH-4N,20.5
W00080990,291976,8/8/2018,JTC-C2,20.5
W00080990,291976,8/8/2018,MEDA-8,22.5
W00080990,291976,8/8/2018,PLAY GUM,56.4
W00080990,291976,8/8/2018,PURESHAMP-10,23.85
W00153622,292784,8/31/2018,BIOVITATINCOND-32,0
W00153622,292784,8/31/2018,BIOVITATINSHP-32,0
W00153622,292784,8/31/2018,BSHS-10,10.25
W00153622,292784,8/31/2018,COMBK-32,0
W00153622,292784,8/31/2018,EYHS-32,0
W00153622,292784,8/31/2018,INSCON-4,0
W00153622,292784,8/31/2018,MESSAGE5,0
W00153622,292784,8/31/2018,PROMO F,107.7
W00153622,292784,8/31/2018,PROMO F,26.85
W00153622,292784,8/31/2018,PROMO F,35.9
W00153622,292784,8/31/2018,PROMO F,53.85
W00153622,292784,8/31/2018,PROMO F,35.9
W00153622,292784,8/31/2018,ROOTBOOST,9.95
W00153622,292784,8/31/2018,SMOOTHIESUPERSTRT-10,9.5
W00158207,292844,8/26/2018,BIOMINOILLEAVEIN-9,29.85
W00158207,292844,8/26/2018,BSCON-32,16.95
W00158207,292844,8/26/2018,COMBK-10,8.25
W00158207,292844,8/26/2018,COMBKCOND-32,0
W00158207,292844,8/26/2018,PROMO F,35.9
W00283565,292001,8/8/2018,CHLCON-10,12.6
W00283565,292001,8/8/2018,CHLSH-10,11.5
W00283565,292001,8/8/2018,CIT-10,47.7
W00283565,292001,8/8/2018,CIT-32,0
W00283565,292001,8/8/2018,DRIZ-10,23.85
W00283565,292001,8/8/2018,DRIZ-32,46
W00283565,292001,8/8/2018,EYHS-32,0
W00283565,292001,8/8/2018,FIT SPRAY-10,49.5
W00283565,292001,8/8/2018,FRESHHAIRDRYSHP,9.5
W00283565,292001,8/8/2018,MEDA-8,15
W00283565,292001,8/8/2018,PROMO F,35.9
W00283565,292001,8/8/2018,PROMO F,35.9
W00283565,292001,8/8/2018,ROOTB PLUS,19.9
W00283565,292001,8/8/2018,SPRAYER,3.6
W00283565,292001,8/8/2018,VOLWHIPMOUSSE-8.5,15.2
W00308559,291926,8/7/2018,,0
W00308559,291939,8/7/2018,7 N-7/0 BIONDO,9.99
W00308559,291939,8/7/2018,8 C BIONDO,9.99
W00308559,291939,8/7/2018,8 N BIONDO,9.99
W00308559,291939,8/7/2018,901BIONDOULTRACENERE,19.98
W00308559,291939,8/7/2018,CIT-32,0
W00308559,291939,8/7/2018,COMBK-32,0
W00308559,291939,8/7/2018,DEV40-16,13.5
W00308559,291939,8/7/2018,JAFACESWHITETEA,22
W00308559,291939,8/7/2018,MAP-7,19
W00308559,291939,8/7/2018,PROMO F,17.95
W00308559,291939,8/7/2018,PROMO F,17.95
W00315342,291847,8/3/2018,BSHS-10,0
W00315342,291847,8/3/2018,FRESHHAIR-10,19.5
W00315342,291847,8/3/2018,PROMO F,51.25
W00315342,291847,8/3/2018,ROOTB PLUS,19.9
W00324499,292188,8/14/2018,DEV20-32,33.5
W00324499,292188,8/14/2018,JABIOMINERALS-10,73.5
W00324499,292188,8/14/2018,MESSAGE3,0
W00333596,291848,8/3/2018,,0
W00333596,291848,8/3/2018,,0
W00333596,291848,8/3/2018,,0
W00333596,291848,8/3/2018,3 N CASTANO,9.99
W00333596,291848,8/3/2018,4 N CASTANO,39.96
W00333596,291848,8/3/2018,6 D BIONDO,9.99
W00333596,291848,8/3/2018,6 N-6/0 BIONDO,29.97
W00333596,291848,8/3/2018,6DR-6/34,9.99
W00333596,291848,8/3/2018,7 D-7/3,19.98
W00333596,291848,8/3/2018,7 N-7/0 BIONDO,19.98
W00333596,291848,8/3/2018,BIOFOAMFIX,34
W00333596,291848,8/3/2018,BIOFOAMFIX,17
W00333596,291848,8/3/2018,BLSAND,0
W00333596,291848,8/3/2018,BVS-3N,16
W00333596,291848,8/3/2018,BVS-4N,8
W00333596,291848,8/3/2018,BVS-4X,8
W00333596,291848,8/3/2018,BVS-5G,8
W00333596,291848,8/3/2018,BVS-5N,8
W00333596,291848,8/3/2018,BVS-6G,8
W00333596,291848,8/3/2018,BVS-6N,8
W00333596,291848,8/3/2018,BVS-7N,8
W00333596,291848,8/3/2018,BVS-8N,8
W00333596,291848,8/3/2018,BVS-9N,8
W00333596,291848,8/3/2018,DEV20-32,0
W00333596,291848,8/3/2018,DURAGL-16,18.95
W00333596,291848,8/3/2018,DURAGL-16,18.95
W00333596,291848,8/3/2018,PROMO F,47.9
W00333596,291848,8/3/2018,UGLZ-16,14.75
W00342509,292776,8/31/2018,BVS-4X,8
W00342509,292776,8/31/2018,BVS-5N,16
W00342509,292776,8/31/2018,BVS-6N,16
W00342509,292776,8/31/2018,BVS-7N,24
W00342509,292776,8/31/2018,BVS-8N,16
