ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
A00000019,307186,12/3/2019,BIOVITATINCOND-10,0
A00000019,307186,12/3/2019,BIOVITATINSHP-10,0
A00000019,307186,12/3/2019,CASABLANCACOND-8,0
A00000019,307186,12/3/2019,CASABLANCAOIL-2,13
A00000019,307186,12/3/2019,CASABLANCASHP-8,0
A00000019,307186,12/3/2019,CEA-10,0
A00000019,307186,12/3/2019,CEALEAVEINCOND-10,0
A00000019,307186,12/3/2019,COMBK-10,0
A00000019,307186,12/3/2019,COMBKCOND-10,0
A00000019,307186,12/3/2019,PROMO F,55.8
A00000019,307186,12/3/2019,PROMO F,23.9
A00000019,307186,12/3/2019,PROMO F,13.95
A00000019,307186,12/3/2019,PROMO F,27.9
A00000019,307186,12/3/2019,PROMO F            *,27.9
A00000019,307186,12/3/2019,VITASHINECOND-8,0
A00000019,307186,12/3/2019,VITASHINESHP-8,0
A00000019,307762,12/20/2019,,0
A00000019,307762,12/20/2019,FRESHHAIRDRYSHP,26
A00000020,307922,12/30/2019,BIOCOMPINSTREPAIR,13.65
A00000020,307922,12/30/2019,BIOELEVENFLUID,13.65
A00000020,307922,12/30/2019,BIOVITATINCOND-10,0
A00000020,307922,12/30/2019,BIOVITATINSHP-10,0
A00000020,307922,12/30/2019,K-VITASHINECOMBO,23.4
A00000020,307922,12/30/2019,MAP-7,13.65
A00000020,307922,12/30/2019,MESSAGE1,0
A00000020,307922,12/30/2019,MESSAGE5,0
A00000020,307922,12/30/2019,PROMO F,18.2
A00000020,307922,12/30/2019,PROMO F            *,36.4
A00000020,307922,12/30/2019,VITASHINECOND-8,0
A00000020,307922,12/30/2019,VITASHINESHP-8,0
A00000034,307635,12/16/2019,,0
A00000034,307635,12/16/2019,25HOURSUPERSTRONG,13
A00000034,307635,12/16/2019,AUTMNSPICELOTION-8 *,0
A00000034,307635,12/16/2019,AUTUMNSPICECOND-8 *,0
A00000034,307635,12/16/2019,AUTUMNSPICESHP-8  *,0
A00000034,307635,12/16/2019,BIOVITAMINS,32.5
A00000034,307635,12/16/2019,EPERFUME-SUGARKISS,22.75
A00000034,307635,12/16/2019,PROMO F,13
A00000034,307635,12/16/2019,SHAVE-8,9.75
A00000034,307635,12/16/2019,VITASHINEHS-8.45,26
A00000034,307635,12/16/2019,VOLUMIZERSHP-10,10.4
A00000035,307716,12/18/2019,BIOVITATINSHP-32,37.05
A00000035,307716,12/18/2019,FRESHHAIRDRYSHP,13
A00000035,307716,12/18/2019,KIDZ SHAMPOO-12,0
A00000035,307716,12/18/2019,KIDZDETANGLER-12,0
A00000035,307716,12/18/2019,PROMO F,15.6
W00080990,307347,12/6/2019,BIODROPSOFSILK,30
W00080990,307347,12/6/2019,BIOELEVENFLUID,49.75
W00080990,307347,12/6/2019,BIOFOAMFIX,17
W00080990,307347,12/6/2019,BIOMIN,49
W00080990,307347,12/6/2019,BLONDEISTBLEACH,30
W00080990,307347,12/6/2019,BSCON-10,13
W00080990,307347,12/6/2019,BSHS-10,20.5
W00080990,307347,12/6/2019,BVS-3N,8
