ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
BAG-HEAD           *,MIS BAG HEAD,34,0,0,AIDS,SERVICE AIDS,,
SANSOL-32,SANISOL QUART,14,28,28,AIDS,SERVICE AIDS,,
APRON              *,APRON,22,0,0,APPAREL,APPAREL,,
BACKPACK           *,FOLDING BACKPACK,15,15,15,APPAREL,APPAREL,,
CAPE CHEM          *,CHEMICAL CAPE,22,0,0,APPAREL,APPAREL,,
CAPE CUT           *,CUTTING CAPE,22,0,0,APPAREL,APPAREL,,
HAT                *,BAD HAIR DAY HAT,10,12,12,APPAREL,APPAREL,,
PARF-SI FLEU,PARFUM FLEUR,15,30,30,APPAREL,APPAREL,,
BWAS,BODY WRAP ANTI STRETCH,10.95,21.9,21.9,BODYWRAP,BODY WRAP,Web EXtras,Anti Stretch Mark Aid
BWBL,BODY WRAP BEAUTIFUL LEGS,12.5,25,25,BODYWRAP,BODY WRAP,Web EXtras,Beautiful Legs Wrap
BWGMC,BODY WRAP GABRIELLE CREME,8.5,17,17,BODYWRAP,BODY WRAP,Web EXtras,Gabrielle
BWIBI,BODY WRAP INCH BY INCH,10.95,21.9,21.9,BODYWRAP,BODY WRAP,Web EXtras,Inch by Inch slimmer thighs
BWPHASE1,BODY WRAP PHASE 1,70,0,0,BODYWRAP,BODY WRAP,Web EXtras,Body wrap phase 1
BWPHASE2,BODY WRAP PHASE 2,12.5,25,25,BODYWRAP,BODY WRAP,Web EXtras,Body wrap phase 2
BWST,BODY WRAP SKIN TIGHT,11.5,23,23,BODYWRAP,BODY WRAP,                                                             SKIN TIGHTENING CREAM                                                                                                                  A SUPER EMOLLIENT CREAM FOR DEHYDRATED SKIN                                                   PROVIDES RESTORATIVE EFFECTS ON FINE LINES AND                                          PRODUCES LAST VISABLE RESULTS..                                 ,
BRUSH-PORTOFINO,PORTOFINO,6,12,12,BRUSH,BRUSHES,Web EXtras,Portofino
BRUSH-SANTA MAR,SANTA MARGHERITA,4,8,8,BRUSH,BRUSHES,Web EXtras,SANTA MARGHERITA
RED ROUND LG,ORIGINAL RED ROUND BRUSH,6,12,12,BRUSH,BRUSHES,Web EXtras,Red Round Brush 
RED ROUND SM,SMALL ROUND BRUSH,6,12,13,BRUSH,BRUSHES,Web EXtras,Red Round Brush SMALL
SOY CANDLE APPLE,APPLE JACK,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE BIRTHDAY,BIRTHDAY CAKE,5,10,10,CANDLE,SOY CANDLE,,
