ID,InvoiceNo,InvoiceDate,ID_1,ExtendedPrice
A00000028,313637,8/7/2020,COMBK-32,32.5
A00000028,313637,8/7/2020,GLZSHP-10,11.05
A00000028,313637,8/7/2020,K-VITASHINECOMBO,23.4
A00000028,313637,8/7/2020,MESSAGE4,0
A00000028,313637,8/7/2020,STRIKEFORCE,9.75
W00080990,314146,8/27/2020,BIOELEVENFLUID,63
W00080990,314146,8/27/2020,BIOFOAMFIX,54
W00080990,314146,8/27/2020,BIOMIN,50
W00080990,314146,8/27/2020,BSHS-10,31.5
W00080990,314146,8/27/2020,BVS-4X,16.5
W00080990,314146,8/27/2020,BVS-7N,8.25
W00080990,314146,8/27/2020,CHLSH-10,24
W00080990,314146,8/27/2020,DEV10-32,17.25
W00080990,314146,8/27/2020,DEV20-32,34.5
W00080990,314146,8/27/2020,JCH-7N,42
W00080990,314146,8/27/2020,JCH-IC6-ROSSO,21
W00080990,314146,8/27/2020,JTC-6N,21
W00080990,314146,8/27/2020,JTC-7N,21
W00080990,314146,8/27/2020,JTC-C4,21
W00080990,314146,8/27/2020,MEDA-250,31.8
W00080990,314146,8/27/2020,SOFABULOUSCOND-10,34
W00080990,314146,8/27/2020,SOFABULOUSSHP-10,32
W00158927,313506,8/4/2020,MHAIRSPRAY-8,47.7
W00158927,313506,8/4/2020,PAVF-7.5,138
W00308559,313590,8/6/2020,BSHS-10,20.5
W00308559,313590,8/6/2020,DEV20-32,16.75
W00308559,313590,8/6/2020,JAFACESWHITETEA,44
W00308559,313590,8/6/2020,PAVF-7.5,57.5
W00324499,313727,8/12/2020,3 N CASTANO,10.25
W00324499,313727,8/12/2020,7 C BIONDO,10.25
W00324499,313727,8/12/2020,BIOCOMPNOURSHP-250,9
W00324499,313727,8/12/2020,BVS-10A,8.25
W00324499,313727,8/12/2020,BVS-10N,8.25
W00324499,313727,8/12/2020,BVS-4N,24.75
W00324499,313727,8/12/2020,BVS-5A,8.25
W00324499,313727,8/12/2020,BVS-5N,24.75
W00324499,313727,8/12/2020,BVS-6A,8.25
W00324499,313727,8/12/2020,BVS-6N,24.75
W00324499,313727,8/12/2020,BVS-7N,33
W00324499,313727,8/12/2020,BVS-8N,33
W00324499,313727,8/12/2020,BVS-9N,16.5
W00324499,313727,8/12/2020,BVS-ULAB,8.25
W00324499,313727,8/12/2020,COMBK-10,8.75
W00324499,313727,8/12/2020,DEV20-32,34.5
W00324499,313727,8/12/2020,FLASH,24.75
W00324499,313727,8/12/2020,FOILPOPUP500   *,36
W00324499,313727,8/12/2020,JABIOMINERALS-10,75
W00324499,313727,8/12/2020,SMOOTHIECOND-10,16
W00324499,313727,8/12/2020,SMOOTHIESHAMP-10,8
W00380267,313593,8/6/2020,CRICKETCAPES,60
W00402400,314189,8/28/2020,,37.5
W00402400,314189,8/28/2020,6 N-6/0 BIONDO,10.25
W00402400,314189,8/28/2020,7 N-7/0 BIONDO,20.5
W00402400,314189,8/28/2020,BSHS-10,0
W00402400,314189,8/28/2020,BVS-5N,8.25
W00402400,314189,8/28/2020,BVS-8X,8.25
W00402400,314189,8/28/2020,BVS-ULAB,8.25
W00402400,314189,8/28/2020,CASABLANCAOIL-2,29.25
W00402400,314189,8/28/2020,CEA-10,0
W00402400,314189,8/28/2020,COOL-IT,10.95
W00402400,314189,8/28/2020,DEV40-32,40
W00402400,314189,8/28/2020,JAFACESCUCUMBERBLISS,29
W00402400,314189,8/28/2020,JTC-6N,42
W00402400,314189,8/28/2020,JTC-8N,21
W00402400,314189,8/28/2020,PROMO F,105
W00402400,314189,8/28/2020,REPCREAM-250,58.5
W00402400,314189,8/28/2020,ROOTB PLUS,0
W00402668,314149,8/27/2020,CIT-10,17.9
W00402668,314149,8/27/2020,CIT-32,23.95
W00402668,314149,8/27/2020,EPA-10,6
W00402668,314149,8/27/2020,EPA-32,13.95
W00402668,314149,8/27/2020,PAVF-7.5,23.9
W00402668,314149,8/27/2020,TEXCR-32,22
W00402668,314149,8/27/2020,VITASHINECOND-8,8.75
W00402668,314149,8/27/2020,VITASHINESHP-8,17.5
W00402668,314149,8/27/2020,VOLDURAFINI-10,9.75
W00406166,314167,8/28/2020,3 N CASTANO,10.25
W00406166,314167,8/28/2020,6 C BIONDO,10.25
W00406166,314167,8/28/2020,6 N-6/0 BIONDO,10.25
W00406166,314167,8/28/2020,6 R BIONDO,10.25
W00406166,314167,8/28/2020,8 N BIONDO,10.25
W00406166,314167,8/28/2020,BIOWATERWAX,29.25
W00406166,314167,8/28/2020,BLSAND,24.75
W00406166,314167,8/28/2020,BVS-4N,8.25
W00406166,314167,8/28/2020,BVS-4X,8.25
W00406166,314167,8/28/2020,BVS-5X,8.25
W00406166,314167,8/28/2020,BVS-6N,8.25
W00406166,314167,8/28/2020,CEMENTFIX-8.5,18.5
W00406166,314167,8/28/2020,DEV10-32,17.25
W00406166,314167,8/28/2020,DEV20-32,51.75
W00406166,314167,8/28/2020,DEV40-32,20
W00406166,314167,8/28/2020,EYHS-10,20
W00406166,314167,8/28/2020,EYHS-32,24.5
W00406166,314167,8/28/2020,JABIOMINERALS-10,25
W00406166,314167,8/28/2020,JTC-8N,21
W00406166,314167,8/28/2020,OLIGOTHERAPYVIALS-12,40
W00406166,314167,8/28/2020,TEXCR-10,16.5
W00406166,314167,8/28/2020,VITASHINECOND-8,26.25
W00406166,314167,8/28/2020,VITASHINESHP-8,35
W00408517,313536,8/5/2020,BIOMINOILLEAVEIN-9,9.95
W00408517,313536,8/5/2020,BIOVITATINCOND-10,9.5
W00408517,313536,8/5/2020,BIOVITATINLEAVEIN-10,8.95
W00408517,313536,8/5/2020,BIOVITATINSHP-10,9.5
W00408517,313536,8/5/2020,EPERFUMEROMANCE,20
W00408517,313536,8/5/2020,FOOT-8,13.9
W00408517,313536,8/5/2020,MEDA-1000,24.95
W00408517,313536,8/5/2020,VOLWHIPMOUSSE-8.5,22.8
W00421621,313912,8/18/2020,,0
W00421621,313912,8/18/2020,BIOELEVENFLUID,21
W00421621,313912,8/18/2020,BVS-8N,8.25
W00421621,313912,8/18/2020,CIT-10,17.9
W00421621,313912,8/18/2020,COMBK-10,8.75
W00421621,313912,8/18/2020,FRESHHAIRDRYSHP,0
W00421621,313912,8/18/2020,MEDA-1000,24.95
W00421621,313912,8/18/2020,MEDA-250,15.9
W00421621,313912,8/18/2020,NHPERM-R,6.95
W00421621,313912,8/18/2020,PERPERM-R,0
W00421621,313912,8/18/2020,PURECOND-10,8
W00421621,313912,8/18/2020,PURESHAMP-10,8.5
W00421621,313912,8/18/2020,SHINE SPRAY,18.5
W00421621,313912,8/18/2020,TWISTPERM,15.5
W00421621,313912,8/18/2020,VITASHINESHP-8,8.75
W00421621,313912,8/18/2020,VOLWHIPMOUSSE-8.5,16
W00421621,313941,8/19/2020,MSHAMPOO-32,17
W00424424,313744,8/12/2020,BSHS-10,0
W00424424,313744,8/12/2020,CHLSH-128,94.5
W00424424,313744,8/12/2020,GIZERSHP-128,98.5
W00424424,313744,8/12/2020,PROMO F,52.5
W00442978,314112,8/26/2020,BIOVITAMINS,52
W00442978,314112,8/26/2020,DEV30-32,19
W00442978,314112,8/26/2020,VOLUMESPRAY,38
W00467770,313646,8/7/2020,COMBK-32,47
W00509104,313488,8/4/2020,MGEL-8,6.75
W00509104,313488,8/4/2020,OMGDRYTEXSPRAY-7,135.6
W00509104,313488,8/4/2020,UNMX-10,25.6
W00509104,313488,8/4/2020,VITASHINEHS-8.45,38
W00509104,313810,8/13/2020,,32.82
W00509104,313810,8/13/2020,,0
W00509104,313810,8/13/2020,BSHSHUMID-10,0
W00522106,313620,8/6/2020,BIOVITAMINS,0
W00522106,313620,8/6/2020,BIOVITATINCOND-2,0
W00522106,313620,8/6/2020,BIOVITATINLEAVEIN-2,0
W00522106,313620,8/6/2020,BIOVITATINSHP-2,0
W00522106,313620,8/6/2020,FRESHDRYCOND-4.5,19.5
W00522106,313620,8/6/2020,MIRACLEFRUITOIL   *,75
W00522106,313620,8/6/2020,PROMO F,67.62
W00522106,313620,8/6/2020,SMOOTHIECOND-32,23
W00522106,313620,8/6/2020,SMOOTHIESHAMP-32,23
W00526488,313800,8/13/2020,JABIOMINERALS-10,75
W00526488,313800,8/13/2020,JABIOMINERALS-3,27.75
W00541856,313694,8/11/2020,COMBK-10,78.75
W00541856,313694,8/11/2020,JABIOMINERALS-10,25
W00541856,313694,8/11/2020,MESSAGE2,0
W00541856,313694,8/11/2020,MESSAGE3,0
W00541856,313828,8/14/2020,MESSAGE2,0
W00541856,313828,8/14/2020,MESSAGE7,0
W00541856,313828,8/14/2020,VOLWHIPMOUSSE-8.5,48
W00545701,314123,8/27/2020,BIOMINOILLEAVEIN-9,0
W00545701,314123,8/27/2020,BIOVITAMINS,0
W00545701,314123,8/27/2020,BIOWATERWAX,0
W00545701,314123,8/27/2020,BSHSHUMID-10,0
W00545701,314123,8/27/2020,CASABLANCAFOAM-8,0
W00545701,314123,8/27/2020,CASABLANCAOIL-2,0
W00545701,314123,8/27/2020,COMBKCOND-10,0
W00545701,314123,8/27/2020,COOL-IT,0
W00545701,314123,8/27/2020,CTW-NSH,0
W00545701,314123,8/27/2020,CTW-R-A+ 4#,0
W00545701,314123,8/27/2020,CTWSOOTHERS,0
W00545701,314123,8/27/2020,DURAGL-2,0
W00545701,314123,8/27/2020,EPA-10,0
W00545701,314123,8/27/2020,FIT SPRAY-10,0
W00545701,314123,8/27/2020,FRESHHAIR-10,0
W00545701,314123,8/27/2020,GENTLE-16,0
W00545701,314123,8/27/2020,GIZERCURLDEFINER-4,0
W00545701,314123,8/27/2020,JABIOMINERALS-10,0
W00545701,314123,8/27/2020,JAG-10,0
W00545701,314123,8/27/2020,MAP-7,0
W00545701,314123,8/27/2020,MEDA-250,0
W00545701,314123,8/27/2020,PLAY GUM,0
W00545701,314123,8/27/2020,PROMO F,199
W00545701,314123,8/27/2020,SERUM-1,0
W00545701,314123,8/27/2020,SHINE SPRAY,0
W00545701,314123,8/27/2020,SMOOTHIE-4,0
W00545701,314123,8/27/2020,SMOOTHIECOND-10,0
W00545701,314123,8/27/2020,SMOOTHIEKERASHINE-4,0
W00545701,314123,8/27/2020,SMOOTHIESHAMP-10,0
W00545701,314123,8/27/2020,SMOOTHIESUPERSTRT-10,0
W00566341,314148,8/27/2020,BVS-1N,8.25
W00566341,314148,8/27/2020,BVS-3N,8.25
W00566341,314148,8/27/2020,BVS-4N,8.25
W00566341,314148,8/27/2020,BVS-4X,8.25
W00566341,314148,8/27/2020,BVS-5N,8.25
W00566341,314148,8/27/2020,BVS-5X,8.25
W00566341,314148,8/27/2020,BVS-6N,8.25
W00566341,314148,8/27/2020,DERMACARE,13.5
W00566341,314148,8/27/2020,DEV10-32,17.25
W00566341,314148,8/27/2020,DEV20-32,17.25
W00566341,314148,8/27/2020,MESSAGE2,0
W00566341,314148,8/27/2020,MESSAGE5,0
W00583310,314143,8/27/2020,,0
W00583310,314143,8/27/2020,BIOELEVENFLUID,42
W00583310,314143,8/27/2020,BSHSHUMID-10,21.9
W00583310,314143,8/27/2020,CEA-10,0
W00583310,314143,8/27/2020,CIT-10,17.9
W00583310,314143,8/27/2020,JABIOMINERALS-10,25
W00583310,314143,8/27/2020,PUMP-LTR   *,3.6
W00587168,313613,8/6/2020,,0
W00587168,313613,8/6/2020,BIOVITAMINS,0
W00587168,313613,8/6/2020,BIOVITATINCOND-2,0
W00587168,313613,8/6/2020,BIOVITATINLEAVEIN-2,0
W00587168,313613,8/6/2020,BIOVITATINSHP-2,0
W00587168,313613,8/6/2020,CHLSH-2,6.45
W00587168,313613,8/6/2020,DEV20-32,17.25
W00587168,313613,8/6/2020,GLOVESMED-100     *,12
W00587168,313613,8/6/2020,PROMO F,33.81
W00587168,313613,8/6/2020,VITASHINECOND-2,10.05
W00587168,313613,8/6/2020,VITASHINESHP-2,10.05
W00587168,313690,8/11/2020,,32.82
W00587168,313690,8/11/2020,BSHSHUMID-10,0
W00587168,313716,8/11/2020,DEV20-32,17.25
W00587168,313716,8/11/2020,JCH-8N,21
W00587168,313716,8/11/2020,JTC-7N,42
W00587168,313716,8/11/2020,JTC-8N,21
W00587168,313870,8/17/2020,,37.5
W00587168,313870,8/17/2020,,0
W00587168,313870,8/17/2020,ROOTB PLUS,0
W00587168,313919,8/18/2020,BIOMINOILLEAVEIN-2,6.3
W00587168,313919,8/18/2020,BIOMINOILLEAVEIN-9,10
W00587168,313919,8/18/2020,BLSAND,24.75
W00587168,313919,8/18/2020,BSKIWI-10,12
W00587168,313919,8/18/2020,BVS-3N,16.5
W00587168,313919,8/18/2020,BVS-6N,8.25
W00587168,313919,8/18/2020,BVS-7X,8.25
W00587168,313919,8/18/2020,BVS-8X,8.25
W00587168,313919,8/18/2020,BVS-CVTONER,8.25
W00587168,313919,8/18/2020,CHLSH-2,6.45
W00587168,313919,8/18/2020,ELEVATE7BLEACH,24.75
W00587168,313919,8/18/2020,GLOVESMED-100     *,12
W00587168,313919,8/18/2020,GLZSHP-10,17
W00587168,313919,8/18/2020,JABIOMINERALS-10,25
W00587168,313919,8/18/2020,JCH-5N,21
W00587168,313919,8/18/2020,JCH-6N,21
W00587168,313919,8/18/2020,JCH-7N,21
W00587168,313919,8/18/2020,JTC-5N,21
W00587168,313919,8/18/2020,JTC-6N,21
W00587168,313919,8/18/2020,JTC-7N,21
W00587168,313919,8/18/2020,KERASMOOTHCOND-8,33.9
W00587168,313919,8/18/2020,KERASMOOTHSH-8,33.9
W00587168,313919,8/18/2020,MAP-7,31.5
W00587168,313919,8/18/2020,VITASHINECOND-2,16.75
W00587168,313919,8/18/2020,VITASHINESHP-2,16.75
W00587168,313919,8/18/2020,VITASHINESHP-8,17.5
W00587168,314052,8/25/2020,,0
W00587168,314052,8/25/2020,,26.88
W00587168,314052,8/25/2020,CIT-10,0
W00587526,313577,8/5/2020,,20
W00587526,313577,8/5/2020,3PLYMASK,20
W00587526,313577,8/5/2020,CIT-2,35
W00587526,313577,8/5/2020,EYHS-2,35
W00587526,313577,8/5/2020,GLZ-16,11.5
W00589714,313672,8/10/2020,BVS-1N,8.25
W00589714,313672,8/10/2020,BVS-3N,8.25
W00589714,313672,8/10/2020,BVS-4G,16.5
W00589714,313672,8/10/2020,BVS-5G,16.5
W00589714,313672,8/10/2020,BVS-5N,16.5
W00589714,313672,8/10/2020,BVS-5X,16.5
W00589714,313672,8/10/2020,BVS-6AA,16.5
W00589714,313672,8/10/2020,BVS-6G,16.5
W00589714,313672,8/10/2020,BVS-6X,8.25
W00589714,313672,8/10/2020,BVS-7AA,16.5
W00589714,313672,8/10/2020,BVS-7G,16.5
W00589714,313672,8/10/2020,BVS-7N,24.75
W00589714,313672,8/10/2020,BVS-7S,16.5
W00589714,313672,8/10/2020,BVS-7X,16.5
W00589714,313672,8/10/2020,BVS-8AA,16.5
W00589714,313672,8/10/2020,BVS-8G,49.5
W00589714,313672,8/10/2020,BVS-8N,49.5
W00589714,313672,8/10/2020,BVS-8S,16.5
W00589714,313672,8/10/2020,BVS-8X,16.5
W00589714,313672,8/10/2020,BVS-9AA,16.5
W00589714,313672,8/10/2020,BVS-9G,24.75
W00589714,313672,8/10/2020,BVS-9N,33
W00589714,313672,8/10/2020,BVS-9S,16.5
W00589714,313672,8/10/2020,DEV10-32,51.75
W00589714,313672,8/10/2020,DEV20-32,51.75
W00589714,313672,8/10/2020,OMGDRYTEXSPRAY-7,67.8
W00589714,313672,8/10/2020,PAVF-7.5,71.7
W00589714,314217,8/31/2020,BVS-10N,8.25
W00589714,314217,8/31/2020,BVS-1N,8.25
W00589714,314217,8/31/2020,BVS-3N,16.5
