ID,Description1,Price1,Price2,Price3,ID_1,Description
APRON              *,APRON,22,0,0,APPAREL,APPAREL
CAPE CHEM          *,CHEMICAL CAPE,22,0,0,APPAREL,APPAREL
CAPE CUT           *,CUTTING CAPE,22,0,0,APPAREL,APPAREL
HAT                *,BAD HAIR DAY HAT,10,12,12,APPAREL,APPAREL
BACKPACK           *,FOLDING BACKPACK,15,15,15,APPAREL,APPAREL
PARF-SI FLEU,PARFUM FLEUR,15,30,30,APPAREL,APPAREL
BWPHASE1,BODY WRAP PHASE 1,70,0,0,BODYWRAP,BODY WRAP
BWGMC,BODY WRAP GABRIELLE CREME,8.5,17,17,BODYWRAP,BODY WRAP
BWAS,BODY WRAP ANTI STRETCH,10.95,21.9,21.9,BODYWRAP,BODY WRAP
BWIBI,BODY WRAP INCH BY INCH,10.95,21.9,21.9,BODYWRAP,BODY WRAP
BWST,BODY WRAP SKIN TIGHT,11.5,23,23,BODYWRAP,BODY WRAP
BWBL,BODY WRAP BEAUTIFUL LEGS,12.5,25,25,BODYWRAP,BODY WRAP
BWPHASE2,BODY WRAP PHASE 2,12.5,25,25,BODYWRAP,BODY WRAP
BRUSH-SANTA MAR,SANTA MARGHERITA,4,8,8,BRUSH,BRUSHES
RED ROUND LG,ORIGINAL RED ROUND BRUSH,6,12,12,BRUSH,BRUSHES
BRUSH-PORTOFINO,PORTOFINO,6,12,12,BRUSH,BRUSHES
RED ROUND SM,SMALL ROUND BRUSH,6,12,13,BRUSH,BRUSHES
JCF-1,FLUID 1 NERO BLU,3.25,0,0,COLFLUID,COLOR FLUID
JCF-3N,FLUID 3 N CASTANO SCURO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-4N,FLUID 4 N CASTANO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-4R,FLUID 4 R CASTANO RAMATO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5D,FLUID 5 D CASTANO CH.DOR,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5M,FLUID 5 M MOGANO CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5N,FLUID 5 N CASTANO CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5R,FLUID 5 R CASTANO CH. RAM,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5V,FLUID 5V PRUGNA CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-6N,FLUID 6 N BIONDO SCURO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-6RV,FLUID 6RV ROSSO SC VIVO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7D,FLUID 7 D BIONDO DORATO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7N,FLUID 7 N BIONDO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7R,FLUID 7 R BIONDO RAMATO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7TIZ,FLUID 7TIZ ROSSO TIZIANO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-8DM,FLUID 8DM BIONDO CH.MELE,3.25,0,0,COLFLUID,COLOR FLUID
JCF-8N,FLUID 8 N BIONDO CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-8RS,CHESTNUT RED,3.25,0,0,COLFLUID,COLOR FLUID
JCF-CHART          *,FLUID COLOR  CHART,12,0,0,COLFLUID,COLOR FLUID
KIT-FLUID,JALYD COLOR FLUID KIT,0,0,0,COLFLUID,COLOR FLUID
COLCHT             *,JALYD COLOR CHART,25,0,0,COLSUP,COLOR SUPPORT
COLGONE-128,COLOR GONE GALLON,45,0,0,COLSUP,COLOR SUPPORT
COLGONE-16,COLOR GONE PINT,13,0,0,COLSUP,COLOR SUPPORT
COLGONE-8,COLOR GONE 8 OUNCE,8,0,0,COLSUP,COLOR SUPPORT
GLOVE-L-L          *,LATEX GLOVE LARGE,7.99,0,0,COLSUP,COLOR SUPPORT
GLOVE-L-M          *,LATEX GLOVE MEDIUM,7.99,0,0,COLSUP,COLOR SUPPORT
GLOVE-V-L          *,VINYL GLOVE LARGE,4.99,0,0,COLSUP,COLOR SUPPORT
GLOVE-V-M          *,VINYL GLOVE MEDIUM,4.99,0,0,COLSUP,COLOR SUPPORT
GLOVE-V-S          *,VINYL GLOVE SMALL,4.99,0,0,COLSUP,COLOR SUPPORT
GLOVE-V-XL         *,VINYL GLOVE EXTRA LARGE,7.99,0,0,COLSUP,COLOR SUPPORT
JTC-BRUSH          *,MILLENNIUM BRUSH,2,0,0,COLSUP,COLOR SUPPORT
JTC-CHART          *,MILLENNIUM COLOR CHART,45,0,0,COLSUP,COLOR SUPPORT
MOUSSECHART        *,COLOR MOUSSE CHART,12.5,0,0,COLSUP,COLOR SUPPORT
JALYD J CART       *,JALYD J COLOR STORAGE CART,150,0,0,COLSUP,COLOR SUPPORT
FOIL RED 250,METAL FOIL RED 250,14.95,0,0,COLSUP,COLOR SUPPORT
FOIL BLUE 250,METAL FOIL BLUE 250,14.95,0,0,COLSUP,COLOR SUPPORT
FOIL GOLD 250,METAL FOIL GOLD 250 FT,14.95,0,0,COLSUP,COLOR SUPPORT
FOIL SILVER 250,METAL FOIL SILVER 250,11.95,0,0,COLSUP,COLOR SUPPORT
FOIL SILVER 500,METAL FOIL SILVE 500 FT,20.95,0,0,COLSUP,COLOR SUPPORT
BIOMIN,BIOMIN OIL,18,0,0,CONDITIO,CONDITIONER
BIOMIN3,BIOMINOIL 3 PACK,6,0,0,CONDITIO,CONDITIONER
BSCON-1            *,BOTAN SILK COND  1Z        1,0.55,1.7,1.7,CONDITIO,CONDITIONER
KSCON-1            *,KIWI SILK CONDITIONER 1z,0.55,1.7,1.7,CONDITIO,CONDITIONER
PERCON-1           *,PERMISSION COND  1Z,0.55,1.7,1.7,CONDITIO,CONDITIONER
BSCON-2,BOTAN SILK COND  2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER
GIZER-2,PERMAGIZER  2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER
KSCON-2,KIWI SILK CONDITIONER 2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER
PERCON-2,PERMISSION COND  2Z,1.85,3.7,3.7,CONDITIO,CONDITIONER
FRESHHAIR-2,FRESH HAIR 2oz,1.85,3.7,3.7,CONDITIO,CONDITIONER
CCON-2,COLOR CONDITIONING COMPLEX,2.6,5.2,5.2,CONDITIO,CONDITIONER
MAP-4,MAP COND  4Z [JAR],4.5,10,11,CONDITIO,CONDITIONER
TPC-8,TPC  8Z,4.5,10,11,CONDITIO,CONDITIONER
FRESHHAIR-8,FRESH HAIR 8oz,4.75,10.5,11.5,CONDITIO,CONDITIONER
BSCON-8,BOTAN SILK COND  8Z,5,11,12,CONDITIO,CONDITIONER
CHLCON-8,CHLORIMED SPRAY ON COND  8Z,5,11,12,CONDITIO,CONDITIONER
GIZER-8,PERMAGIZER  8Z,5,11,12,CONDITIO,CONDITIONER
KSCON-8,KIWI SILK CONDITIONER 8Z,5,11,12,CONDITIO,CONDITIONER
PERCON-8,PERMISSION COND  8Z,5,11,12,CONDITIO,CONDITIONER
